// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 07782986
//  ProductCode: MTi-G-710-2A8G4
//  Firmware Version: 1.16.0
//  Hardware Version: 3.0.0
// Device settings: 
//  Filter Profile: General(1.20)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
//  GNSS Platform: Portable
// Coordinate system: ENU
PacketCounter,SampleTimeFine,Latitude,Longitude,Altitude
10539,1218923,NaN,NaN,NaN
10540,1219023,NaN,NaN,NaN
10541,1219123,NaN,NaN,NaN
10542,1219223,NaN,NaN,NaN
10543,1219323,NaN,NaN,NaN
10544,1219423,NaN,NaN,NaN
10545,1219523,NaN,NaN,NaN
10546,1219623,NaN,NaN,NaN
10547,1219723,NaN,NaN,NaN
10548,1219823,NaN,NaN,NaN
10549,1219923,NaN,NaN,NaN
10550,1220023,NaN,NaN,NaN
10551,1220123,NaN,NaN,NaN
10552,1220223,NaN,NaN,NaN
10553,1220323,NaN,NaN,NaN
10554,1220423,NaN,NaN,NaN
10555,1220523,NaN,NaN,NaN
10556,1220623,NaN,NaN,NaN
10557,1220723,NaN,NaN,NaN
10558,1220823,NaN,NaN,NaN
10559,1220923,NaN,NaN,NaN
10560,1221023,NaN,NaN,NaN
10561,1221123,NaN,NaN,NaN
10562,1221223,NaN,NaN,NaN
10563,1221323,NaN,NaN,NaN
10564,1221423,NaN,NaN,NaN
10565,1221523,NaN,NaN,NaN
10566,1221623,NaN,NaN,NaN
10567,1221723,NaN,NaN,NaN
10568,1221823,NaN,NaN,NaN
10569,1221923,NaN,NaN,NaN
10570,1222023,NaN,NaN,NaN
10571,1222123,NaN,NaN,NaN
10572,1222223,NaN,NaN,NaN
10573,1222323,NaN,NaN,NaN
10574,1222423,NaN,NaN,NaN
10575,1222523,NaN,NaN,NaN
10576,1222623,NaN,NaN,NaN
10577,1222723,NaN,NaN,NaN
10578,1222823,NaN,NaN,NaN
10579,1222923,NaN,NaN,NaN
10580,1223023,NaN,NaN,NaN
10581,1223123,NaN,NaN,NaN
10582,1223223,NaN,NaN,NaN
10583,1223323,NaN,NaN,NaN
10584,1223423,NaN,NaN,NaN
10585,1223523,NaN,NaN,NaN
10586,1223623,NaN,NaN,NaN
10587,1223723,NaN,NaN,NaN
10588,1223823,NaN,NaN,NaN
10589,1223923,NaN,NaN,NaN
10590,1224023,NaN,NaN,NaN
10591,1224123,NaN,NaN,NaN
10592,1224223,NaN,NaN,NaN
10593,1224323,NaN,NaN,NaN
10594,1224423,NaN,NaN,NaN
10595,1224523,NaN,NaN,NaN
10596,1224623,NaN,NaN,NaN
10597,1224723,NaN,NaN,NaN
10598,1224823,NaN,NaN,NaN
10599,1224923,NaN,NaN,NaN
10600,1225023,NaN,NaN,NaN
10601,1225123,NaN,NaN,NaN
10602,1225223,NaN,NaN,NaN
10603,1225323,NaN,NaN,NaN
10604,1225423,NaN,NaN,NaN
10605,1225523,NaN,NaN,NaN
10606,1225623,NaN,NaN,NaN
10607,1225723,NaN,NaN,NaN
10608,1225823,NaN,NaN,NaN
10609,1225923,NaN,NaN,NaN
10610,1226023,NaN,NaN,NaN
10611,1226123,NaN,NaN,NaN
10612,1226223,NaN,NaN,NaN
10613,1226323,NaN,NaN,NaN
10614,1226423,NaN,NaN,NaN
10615,1226523,NaN,NaN,NaN
10616,1226623,NaN,NaN,NaN
10617,1226723,NaN,NaN,NaN
10618,1226823,NaN,NaN,NaN
10619,1226923,NaN,NaN,NaN
10620,1227023,NaN,NaN,NaN
10621,1227123,NaN,NaN,NaN
10622,1227223,NaN,NaN,NaN
10623,1227323,NaN,NaN,NaN
10624,1227423,NaN,NaN,NaN
10625,1227523,NaN,NaN,NaN
10626,1227623,NaN,NaN,NaN
10627,1227723,NaN,NaN,NaN
10628,1227823,NaN,NaN,NaN
10629,1227923,NaN,NaN,NaN
10630,1228023,NaN,NaN,NaN
10631,1228123,NaN,NaN,NaN
10632,1228223,NaN,NaN,NaN
10633,1228323,NaN,NaN,NaN
10634,1228423,NaN,NaN,NaN
10635,1228523,NaN,NaN,NaN
10636,1228623,NaN,NaN,NaN
10637,1228723,NaN,NaN,NaN
10638,1228823,NaN,NaN,NaN
10639,1228923,NaN,NaN,NaN
10640,1229023,NaN,NaN,NaN
10641,1229123,NaN,NaN,NaN
10642,1229223,NaN,NaN,NaN
10643,1229323,NaN,NaN,NaN
10644,1229423,NaN,NaN,NaN
10645,1229523,NaN,NaN,NaN
10646,1229623,NaN,NaN,NaN
10647,1229723,NaN,NaN,NaN
10648,1229823,NaN,NaN,NaN
10649,1229923,NaN,NaN,NaN
10650,1230023,NaN,NaN,NaN
10651,1230123,NaN,NaN,NaN
10652,1230223,NaN,NaN,NaN
10653,1230323,NaN,NaN,NaN
10654,1230423,NaN,NaN,NaN
10655,1230523,NaN,NaN,NaN
10656,1230623,NaN,NaN,NaN
10657,1230723,NaN,NaN,NaN
10658,1230823,NaN,NaN,NaN
10659,1230923,NaN,NaN,NaN
10660,1231023,NaN,NaN,NaN
10661,1231123,NaN,NaN,NaN
10662,1231223,NaN,NaN,NaN
10663,1231323,NaN,NaN,NaN
10664,1231423,NaN,NaN,NaN
10665,1231523,NaN,NaN,NaN
10666,1231623,NaN,NaN,NaN
10667,1231723,NaN,NaN,NaN
10668,1231823,NaN,NaN,NaN
10669,1231923,NaN,NaN,NaN
10670,1232023,NaN,NaN,NaN
10671,1232123,NaN,NaN,NaN
10672,1232223,NaN,NaN,NaN
10673,1232323,NaN,NaN,NaN
10674,1232423,NaN,NaN,NaN
10675,1232523,NaN,NaN,NaN
10676,1232623,NaN,NaN,NaN
10677,1232723,NaN,NaN,NaN
10678,1232823,NaN,NaN,NaN
10679,1232923,NaN,NaN,NaN
10680,1233023,NaN,NaN,NaN
10681,1233123,NaN,NaN,NaN
10682,1233223,NaN,NaN,NaN
10683,1233323,NaN,NaN,NaN
10684,1233423,NaN,NaN,NaN
10685,1233523,NaN,NaN,NaN
10686,1233623,NaN,NaN,NaN
10687,1233723,NaN,NaN,NaN
10688,1233823,NaN,NaN,NaN
10689,1233923,NaN,NaN,NaN
10690,1234023,NaN,NaN,NaN
10691,1234123,NaN,NaN,NaN
10692,1234223,NaN,NaN,NaN
10693,1234323,NaN,NaN,NaN
10694,1234423,NaN,NaN,NaN
10695,1234523,NaN,NaN,NaN
10696,1234623,NaN,NaN,NaN
10697,1234723,NaN,NaN,NaN
10698,1234823,NaN,NaN,NaN
10699,1234923,NaN,NaN,NaN
10700,1235023,NaN,NaN,NaN
10701,1235123,NaN,NaN,NaN
10702,1235223,NaN,NaN,NaN
10703,1235323,NaN,NaN,NaN
10704,1235423,NaN,NaN,NaN
10705,1235523,NaN,NaN,NaN
10706,1235623,NaN,NaN,NaN
10707,1235723,NaN,NaN,NaN
10708,1235823,NaN,NaN,NaN
10709,1235923,NaN,NaN,NaN
10710,1236023,NaN,NaN,NaN
10711,1236123,NaN,NaN,NaN
10712,1236223,NaN,NaN,NaN
10713,1236323,NaN,NaN,NaN
10714,1236423,NaN,NaN,NaN
10715,1236523,NaN,NaN,NaN
10716,1236623,NaN,NaN,NaN
10717,1236723,NaN,NaN,NaN
10718,1236823,NaN,NaN,NaN
10719,1236923,NaN,NaN,NaN
10720,1237023,NaN,NaN,NaN
10721,1237123,NaN,NaN,NaN
10722,1237223,NaN,NaN,NaN
10723,1237323,NaN,NaN,NaN
10724,1237423,NaN,NaN,NaN
10725,1237523,NaN,NaN,NaN
10726,1237623,NaN,NaN,NaN
10727,1237723,NaN,NaN,NaN
10728,1237823,NaN,NaN,NaN
10729,1237923,NaN,NaN,NaN
10730,1238023,NaN,NaN,NaN
10731,1238123,NaN,NaN,NaN
10732,1238223,NaN,NaN,NaN
10733,1238323,NaN,NaN,NaN
10734,1238423,NaN,NaN,NaN
10735,1238523,NaN,NaN,NaN
10736,1238623,NaN,NaN,NaN
10737,1238723,NaN,NaN,NaN
10738,1238823,NaN,NaN,NaN
10739,1238923,NaN,NaN,NaN
10740,1239023,NaN,NaN,NaN
10741,1239123,NaN,NaN,NaN
10742,1239223,NaN,NaN,NaN
10743,1239323,NaN,NaN,NaN
10744,1239423,NaN,NaN,NaN
10745,1239523,NaN,NaN,NaN
10746,1239623,NaN,NaN,NaN
10747,1239723,NaN,NaN,NaN
10748,1239823,NaN,NaN,NaN
10749,1239923,NaN,NaN,NaN
10750,1240023,NaN,NaN,NaN
10751,1240123,NaN,NaN,NaN
10752,1240223,NaN,NaN,NaN
10753,1240323,NaN,NaN,NaN
10754,1240423,NaN,NaN,NaN
10755,1240523,NaN,NaN,NaN
10756,1240623,NaN,NaN,NaN
10757,1240723,NaN,NaN,NaN
10758,1240823,NaN,NaN,NaN
10759,1240923,NaN,NaN,NaN
10760,1241023,NaN,NaN,NaN
10761,1241123,NaN,NaN,NaN
10762,1241223,NaN,NaN,NaN
10763,1241323,NaN,NaN,NaN
10764,1241423,NaN,NaN,NaN
10765,1241523,NaN,NaN,NaN
10766,1241623,NaN,NaN,NaN
10767,1241723,NaN,NaN,NaN
10768,1241823,NaN,NaN,NaN
10769,1241923,NaN,NaN,NaN
10770,1242023,NaN,NaN,NaN
10771,1242123,NaN,NaN,NaN
10772,1242223,NaN,NaN,NaN
10773,1242323,NaN,NaN,NaN
10774,1242423,NaN,NaN,NaN
10775,1242523,NaN,NaN,NaN
10776,1242623,NaN,NaN,NaN
10777,1242723,NaN,NaN,NaN
10778,1242823,NaN,NaN,NaN
10779,1242923,NaN,NaN,NaN
10780,1243023,NaN,NaN,NaN
10781,1243123,NaN,NaN,NaN
10782,1243223,NaN,NaN,NaN
10783,1243323,NaN,NaN,NaN
10784,1243423,NaN,NaN,NaN
10785,1243523,NaN,NaN,NaN
10786,1243623,NaN,NaN,NaN
10787,1243723,NaN,NaN,NaN
10788,1243823,NaN,NaN,NaN
10789,1243923,NaN,NaN,NaN
10790,1244023,NaN,NaN,NaN
10791,1244123,NaN,NaN,NaN
10792,1244223,NaN,NaN,NaN
10793,1244323,NaN,NaN,NaN
10794,1244423,NaN,NaN,NaN
10795,1244523,NaN,NaN,NaN
10796,1244623,NaN,NaN,NaN
10797,1244723,NaN,NaN,NaN
10798,1244823,NaN,NaN,NaN
